ChemicalName,Rating
lauramphocarboxyglycinate,Good
laurdimoniumhydroxypropylhydrolyzedsoyprotein,Good
laurdimoniumhydroxypropylhydrolyzedwheatprotein,Good
laureth-23,Good
laureth-4,Good
laureth-7,Good
laureths,Good
lauricacid,Best
lauroyllysine,Good
Laurusnobilis,Poor
laurylalcohol,Good
laurylglucoside,Good
lauryllactate,Good
lauryllaurate,Best
laurylPEG-9polydimethylsiloxyethyldimethicone,Good
lavandinoil,Poor
Lavandulaangustifolia,Poor
Lavandulaofficinalis,Poor
lavenderextractandoil,Poor
L-cysteine,Good
lecithin,Best
lemon,Poor
lemonbalm,Poor
lemongrassextract,Poor
lemongrassoil,Poor
lemonjuice,Poor
lemonoil,Poor
lentilfruitextract,Good
Lentinusedodesextract,Average
Leontopodiumalpinumextract,Best
Leptospermumscopariumoil,Good
leucine,Good
leuconostoc/radishrootfermentfiltrate,Good
Levisticumofficinalerootextract,Poor
licoriceextract,Best
licoriceroot,Best
Liliumcandidumbulbextract,Average
limeoilandextract,Poor
Limnanthesalba,Good
Limnanthesalbaseedoil,Good
limonene,Poor
linalool,Poor
lindenflowerextract,Best
linoleicacid,Best
linolenicacid,Best
linseedoil,Best
Linumusitatissimumextract,Best
lipid,Best
liposomes,Good
lithiummagnesiumsodiumsilicate,Good
Lithospermumerythrorhizon,Best
Litseacubeba,Poor
locustbean,Good
Loniceracaprifoliumflowerextract,Best
Lonicerajaponica,Best
Lonicerajaponicaflowerextract,Best
loquatextract,Best
lotusseedextract,Best
lovagerootextract,Poor
lupine,Good
lupineoil,Average
Lupinusalbusextract,Good
lutein,Best
Lyciumbarbarumfruitextract,Good
lycopene,Best
lye,Poor
lysine,Good
lysineHCI,Best
macadamianutoil,Good
madecassoside,Best
magnesium,Good
magnesiumaluminumsilicate,Good
magnesiumascorbylpalmitate,Good
magnesiumascorbylphosphate,Best
magnesiumaspartate,Good
magnesiumcarbonate,Good
magnesiumhydroxide,Good
magnesiumlaurethsulfate,Good
magnesiumolethsulfate,Good
magnesiumstearate,Good
magnesiumsulfate,Good
Mahoniaaquifoliumrootextract,Good
malicacid,Best
mallow,Best
maltodextrin,Good
maltooligosylglucoside,Good
malvaceaeextract,Average
Malvasylvestrisextract,Good
mandarinorangeoilorextract,Poor
mandelicacid,Good
manganesegluconate,Average
manganeseviolet,Good
Mangiferaindica(mango)seedbutter,Best
Mangiferaindicaroot,Good
manukaoil,Good
marigold,Good
marionberry,Good
marjoram,Poor
marshmallow,Best
Mastocarpusstellatus,Good
mateextract,Best
matricariaoil,Best
MEA,Average
meadowfoamseedoil,Good
meadowsweetextract,Best
Medicagosativa,Best
Melaleucaalternifolia,Good
Melaleucacajeputioil,Poor
Meliaazadirachtaextract,Best
Meliaazadirachtaleafextract,Best
Meliaazadirachtaoil,Poor
melibiose,Good
Melissaofficinalis,Poor
Menthaarvensis,Poor
Menthapiperita,Poor
Menthaspicata,Poor
Menthaviridis,Poor
menthol,Poor
menthone,Poor
menthoxypropanediol,Poor
menthylanthranilate,Best
menthyllactate,Poor
meradmiate,Best
methanol,Poor
methicone,Good
methionine,Good
methylchloroisothiazolinone,Poor
methyldibromoglutaronitrile,Poor
methyldihydrojasmonate,Poor
methylgluceth-20,Good
methylgluceth-20benzoate,Good
methylglucosesesquistearate,Good
methylglucosidephosphate,Good
methylisothiazolinone,Poor
methylparaben,Good
methylpropanediol,Good
methylsilanolmannuronate,Good
methylsilanolPEG-7glycerylcocoate,Good
methylsufonylsulfate,Good
methyltrimethicone,Good
MexorylSX,Best
mica,Good
microcrystallinewax,Good
Microcystisaeruginosa,Good
milkprotein,Good
milkvetchroot,Good
milletseedextract,Average
mimosaoilorextract,Poor
mineraloil,Good
mint,Poor
mixedfruitextracts,Good
montanwax,Good
montmorillonite,Good
Morindacitrifolia,Good
Moringaoleiferaseedoil,Best
Morusalbarootextract,Good
Morusbombycisrootextract,Good
Morusnigrarootextract,Good
mucopolysaccharide,Best
Mucormieheiextract,Average
mugwortextract,Average
mulberryextract,Good
murumuruseedbutter,Good
myristicacid,Good
myristoylhexapeptide-16,Best
myristoylpentapeptide-17,Best
myristoyltripeptide-31,Best
myristylalcohol,Good
myristylmyristate,Good
myristylnicotinate,Best
myrrh,Poor
myrtleextract,Poor
Myrtuscommunisextract,Poor
N6-furfuryladenine,Average
N-acetyl-Ltyrosine,Average
NaPCA,Good
Narcissuspoeticuswax,Poor
Nardostachysjatamansi,Good
Nasturtiumofficinaleextract,Average
nattogum,Good
naturalmoisturizingfactor(NMF),Best
neemextract,Best
neemoil,Poor
neopentylglycoldicaprylate/dicaprate,Good
neopentylglycoldiheptanoate,Good
neroli,Poor
nerolioil,Poor
nettleextract,Average
niacin,Best
niacinamide,Best
nicotinamide,Best
nicotinicacid,Best
nonijuice,Good
nonoxynols,Good
nylon-12,Good
Nymphaeatetragona,Best
oakrootextract,Poor
oatbeta-glucan,Best
oatbranextract,Best
oatkernelextract,Best
oatmeal,Best
octinoxate,Best
octisalate,Best
octocrylene,Best
octyldodecanol,Good
octyldodecylmyristate,Good
octyldodecylneopentanoate,Good
octylmethoxycinnamate,Best
octylpalmitate,Good
octylsalicylate,Best
octylstearate,Good
o-cymen-5-ol,Good
Oenotherabiennisoil,Best
Oleaeuropaeafruitoil,Good
Oleaeuropaeaoilunsaponifiables,Best
oleanolicacid,Best
oleicacid,Good
oleth-10,Good
oleths,Good
oleylerucate,Good
olibanumextract,Poor
oliveoil/olivefruitoil,Good
Optuniaficus-indicastemextract,Best
orangeblossom,Poor
Orbignyamartiana,Good
Orbignyaoleifera,Good
orchid,Poor
oregano,Poor
Origanummajorana,Poor
Origanumvulgareflowerextract,Poor
orrisroot,Poor
oryzanol,Good
Oryzasativacera,Best
Oryzasativaoil,Good
oxidoreductase,Best
oxybenzone,Best
ozokerite,Good
P.elisabethae,Good
PABA,Poor
padimateO,Average
Padinapavonicaextract,Good
Paeoniaalbifloraextract,Average
Paeoniasuffruticosaextract,Average
Palmariapalmataextract,Good
palmarosaoil,Poor
palmiticacid,Good
palmitoyldipeptide-10,Best
palmitoylhexapeptide-12,Best
palmitoyloligopeptide,Best
palmitoylpentapeptide-4,Best
palmitoyltetrapeptide-7,Best
palmitoyltripeptide-1,Best
PalmitoylTripeptide-38,Best
palmitoyltripeptide-5,Best
palmitoyltripeptide-8,Best
palmkernelacid,Good
palmoil,Best
Panaxginsengrootextract,Best
Panicummiliaceum,Average
pansyextract,Average
pantethine,Good
panthenol,Best
pantothenicacid,Best
papain,Poor
papayaextract,Average
para-aminobenzoicacid(PABA),Poor
parabens,Good
paraffin,Good
Paraffinumliquidum,Good
Parsol1789,Best
Passifloraedulisextract,Good
Passifloraedulisseedoil,Best
passionfruitextract,Good
patchouli,Poor
pawpawextract,Average
PCA,Good
peanutoil,Good
pecanoil,Good
pectin,Good
PEG/PPG-17/6copolymer,Good
PEG/PPG-18/18dimethicone,Good
PEG/PPG-18/4copolymer,Good
PEG/PPG-20/15dimethicone,Good
PEG-100stearate,Good
PEG-10dimethicone,Good
PEG-10dimethicone/vinyldimethiconecrosspolymer,Good
PEG-10phytosterol,Good
PEG-10rapeseedsterol,Good
PEG-120methylglucosedioleate,Good
PEG-12dimethicone,Good
PEG-12glyceryldimyristate,Good
PEG-14,Good
PEG-150distearate,Good
PEG-20methylglucosesesquistearate,Good
PEG-32,Good
PEG-33,Good
PEG-40hydrogenatedcastoroil,Good
PEG-40stearate,Good
PEG-60almondglycerides,Good
PEG-60hydrogenatedcastoroil,Good
PEG-75sheabutterglycerides,Good
PEG-7glycerylcocoate,Good
PEG-8,Good
PEG-80sorbitanlaurate,Good
PEG-8dimethicone,Good
PEG90M,Good
PEGcompound,Good
Pelargoniumgraveolensoil,Poor
pellitory,Poor
pentadecalactone,Poor
pentaerythrityltetraisostearate,Good
pentaerythrityltetraoctanoate,Good
pentapeptides,Best
pentasodiumpentetate,Good
pentyleneglycol,Good
peppermint,Poor
peptides,Best
Perillaocymoides,Average
Perseagratissimaoil,Best
Persicariahydropiper,Best
petitgrainmandarin,Poor
petrolatum,Good
Peucedanumgraveolens(dill)extract,Best
PHA,Best
phenoxyethanol,Good
phenoxyisopropanol,Good
phenylalanine,Good
phenylethylresorcinol,Average
phenyltrimethicone,Good
phloretin,Best
phosphatidylcholine,Best
phosphatidylethanolamine,Best
phospholipid,Best
phosphoricacid,Good
photosensitizer,Poor
phthalates,Average
Phyllanthusemblicafruitextract,Best
physalisangulataextract,Best
phytantriol,Good
phyticacid,Good
phytonadione,Good
phytosphingosine,Best
phytosterol,Best
phytosteryl/octyldodecyllauroylglutamate,Best
Piceaabiesextract,Best
pineappleextract,Good
pineconeextract,Good
pineoil,Poor
Pinuslambertianawoodextract,Poor
Pinussylvestrisextract,Good
Pipernigrum,Poor
pistachioseedoil,Good
Pistaciaveraseedoil,Good
Pisumsativum,Good
planktonextract,Good
plasticizingagents,Average
plumextract,Good
plumseedoil,Best
Pogostemoncablin,Poor
poloxamer184,Good
Poloxamer407,Good
poloxamers,Good
polyacrylamide,Good
polyacrylate-17,Good
polyacrylatecrosspolymer,Good
polyaminopropylbiguanide,Good
polybutene,Good
polyethylene,Good
polyethyleneglycol,Good
polyglucuronicacid,Good
polyglycerolmonostearate,Good
polyglyceryl-10caprylate/caprate,Good
polyglyceryl-10dioleate,Good
polyglyceryl-10laurate,Good
polyglyceryl-10stearate,Good
polyglyceryl2triisostearate,Good
polyglyceryl-3beeswax,Good
polyglyceryl-3methylglucosedistearate,Good
polyglyceryl-3ricebranate,Best
polyglyceryl-4isostearate,Good
polyglyceryl-4laurate,Good
polyglyceryl-6isostearate,Good
polyglycerylmethacrylate,Good
polyhydroxyacid,Best
polyhydroxystearicacid,Good
polyisobutene,Good
polymer,Good
polymethylsilsesquioxane,Good
polypropyleneglycol,Good
polyquaternium-10,Good
polyquaterniums,Good
polysaccharide,Best
polysilicone-11,Good
polysorbate20,Good
polysorbate60,Good
polysorbate80,Good
polysorbates,Good
polyvinylalcohol,Average
polyvinylpyrrolidone,Good
pomegranateextract,Best
Pongamiaglabraseedoil,Best
Poriacocosextract,Best
Porphyridiumcruentumextract,Average
Portulacaoleraceaextract,Best
potassium,Good
potassiumascorbyltocopherylphosphate,Best
potassiumazeloyldiglycinate,Best
potassiumcetylphosphate,Good
potassiumcitrate,Good
potassiumhydroxide,Average
potassiummyristate,Average
potassiumphosphate,Good
potassiumsorbate,Good
PPG-12/SMDIcopolymer,Good
PPG-12buteth-16,Good
PPG-14butylether,Good
PPG-20methylglucoseether,Good
PPG-26-Buteth-26,Good
PPG-2-deceth-30,Good
PPG-2myristyletherpropionate,Good
PPG-3benzylethermyristate,Good
preservatives,Good
proline,Good
propanediol,Good
propolis,Good
propylenecarbonate,Good
propyleneglycol,Good
propyleneglycoldicaprylate/dicaprate,Good
propyleneglycolisostearate,Good
propyleneglycollaurate,Good
propyleneglycolstearate,Good
propylgallate,Best
propylparaben,Good
Prunellavulgaris,Average
Prunusamericana,Good
Prunusamygdalusdulcis,Good
Prunusarmeniaca,Good
Prunusdomesticaseedextract,Good
Prunusdomesticaseedoil,Best
Prunusdulcis,Good
Prunusserotina(wildcherry)fruitextract,Best
Pseudopterogorgiaelisabethae,Best
Psidiumguajavafruitextract,Best
Puerarialobata,Best
pullulan,Good
pumpkin,Best
pumpkinseedextract,Best
Punicagranatumextract,Best
purifiedwater,Good
PVM/MAdecadienecrosspolymer,Good
PVP,Good
PVP/dimethylaminoethylmethacrylate,Good
PVPcopolymer,Good
pycnogenol,Good
pyridoxinehydrochloride(HCL),Good
Pyruscydonia,Poor
Pyrusmalus(apple)fruitextract,Good
quaternium-15,Average
quaternium-18hectorite,Good
quaterniumammoniumcompounds,Good
quercetin,Best
quercus,Poor
Quercusinfectoriaextract,Poor
quillajaextract,Good
quinceseed,Poor
quinoaoil,Good
rapeseedoil,Best
raspberryseedextract,Good
raspberryseedoil,Good
red27lake,Good
red28,Good
red33,Good
red6lake,Good
red7lake,Good
redalgae,Good
redclover,Good
redraspberryextract,Good
reducingagent,Good
resveratrol,Best
retinol,Best
retinylascorbate,Best
retinylpalmitate,Best
retinylretinoate,Best
Rhodiolarosearootextract,Best
riboflavin,Average
ricebranoil,Good
riceoil,Good
ricestarch,Good
ricinoleate,Good
Ricinuscommunis,Good
Robiniapseudacaciaextract,Poor
Rosacanina,Good
Rosacentifolia,Good
Rosacentifoliaflower,Good
Rosadamascenaoil,Poor
Rosaeglanteria,Good
Rosagallicaflowerextract,Poor
Rosamosqueta,Good
Rosaroxburghiiextract,Best
Rosarubiginosa,Good
roseflower,Poor
rosefloweroil,Poor
rosehip,Good
rosehipoil,Good
rosemaryextract,Good
rosemaryoil,Poor
roseoil,Poor
rosewoodoil,Poor
Rosmarinusofficinalisextract,Good
royaljelly,Average
Rubusidaeus,Good
Rubusoccidentalis,Best
Rubusursinus,Good
Rubusursinusxidaeus,Best
Rubusvilloscus,Best
Ruscusaculeatus,Average
rutin,Best
saccharideisomerate,Good
saccharides,Best
Saccharomycescalciumferment,Average
Saccharomycescerevisiae,Average
Saccharomycescopperferment,Average
Saccharomycesironferment,Average
Saccharomyceslysate,Good
Saccharomycesmagnesiumferment,Average
Saccharomycesmanganeseferment,Average
Saccharomycesofficinarumferment,Average
Saccharomycespotassiumferment,Average
saccharomycesseleniumferment,Good
Saccharomycessiliconferment,Average
Saccharomyceszincferment,Average
safflowerseedoil,Best
sageextract,Average
salicin,Good
salicylicacid,Best
Salixalbaextract,Good
Salixnigra(willow)barkextract,Good
Salviahispanica(chia)seedoil,Best
Salviaofficinalis,Poor
Sambucuscanadensis,Good
Sambucuscerulea,Good
Sambucusnigra,Good
Sambucusnigrafruitextract,Good
sandalwoodoil,Poor
Santalumalbumseedextract,Average
Sapindusmukurossipeelextract,Good
Saponariaofficinalisextract,Good
saponin,Good
sarcosine,Good
Sargassumfilipendulaextract,Good
sausurreaoil,Poor
Saxifragasarmentosaextract,Average
sclareolide,Poor
Sclerocaryabirrea,Best
sclerotiumgum,Good
Scutellariabaicalensisextract,Good
SDalcohol,Poor
SDalcohol40-2,Poor
seabuckthorn,Good
Seamollient,Good
seasalt,Average
seaweed,Good
seawhipextract,Best
sebacicacid,Good
selenium,Best
Serenoaserrulataextract,Average
sericin,Good
serine,Good
sesameoil,Good
Sesamumindicum,Good
sesquioleate,Good
sheabutter,Best
Siegesbeckiaorientalis,Average
silanetriol,Good
silica,Good
silicadimethylsilylate,Good
silicasilylate,Good
silicate,Good
silicone,Good
silk,Good
silkpowder,Good
silkprotein,Good
siloxane,Good
silt,Good
silver,Poor
silverchloride,Average
silvertipwhitetealeafextract,Best
Silybummarianumextract,Best
simethicone,Good
Simmondsiachinensis,Best
skin-replenishingingredients,Best
skin-restoringingredients,Best
skullcapextract,Good
slipagent,Good
slipperyelmbark,Good
soap,Poor
soapberryextract,Good
soapwort,Good
sodiumacetate,Good
sodiumacrylate/acryloydimethyltauratecopolymer,Good
sodiumacrylatescopolymer,Good
sodiumascorbate,Best
sodiumascorbylphosphate,Best
sodiumbenzoate,Good
sodiumbicarbonate,Good
sodiumbisulfite,Average
sodiumborate,Poor
sodiumC14-16olefinsulfonate,Poor
sodiumcarbomer,Good
sodiumcarbonate,Poor
sodiumcarboxymethylbeta-glucan,Good
sodiumcetearylsulfate,Good
sodiumchloride,Good
sodiumchondroitinsulfate,Best
sodiumcitrate,Good
sodiumcocoamphoacetate,Good
sodiumcocoate,Poor
sodiumcocoylaminoacids,Good
sodiumcocoylglutamate,Good
sodiumcocoylglycinate,Good
sodiumcocoylisethionate,Good
sodiumdehydroacetate,Good
sodiumdilauramidoglutamidelysine,Good
sodiumgluconate,Good
sodiumhexametaphosphate,Good
sodiumhyaluronate,Best
sodiumhyaluronatecrosspolymer,Best
sodiumhydroxide,Average
sodiumhydroxymethylglycinate,Good
sodiumlactate,Good
sodiumlactobionate,Average
sodiumlaureth-13carboxylate,Good
sodiumlaurethsulfate,Good
sodiumlauroamphoacetate,Good
sodiumlauroyllactylate,Good
sodiumlauroyloataminoacids,Best
sodiumlauroylsarcosinate,Good
sodiumlaurylglucosecarboxylate,Good
sodiumlaurylsulfate,Poor
sodiummetabisulfite,Average
sodiummethylcocoyltaurate,Good
sodiummethyltaurate,Good
sodiummyrethsulfate,Good
sodiumpalmate,Poor
sodiumpalmkernelate,Poor
sodiumPCA,Best
sodiumPEG-7oliveoilcarboxylate,Good
sodiumphytate,Good
sodiumpolyacrylate,Good
sodiumpolyacrylatestarch,Good
sodiumsalicylate,Average
sodiumsilicate,Poor
sodiumstearoyllactylate,Good
sodiumsulfite,Average
sodiumtallowate,Poor
sodiumthioglycolate,Poor
sodiumtridecethsulfate,Good
Solanumlycopersicumextract,Average
Solanumtuberosumextract,Good
solvent,Good
Sonojell,Good
soothingagent,Best
sorbeth-230tetraoleate,Good
sorbicacid,Good
sorbitanlaurate,Good
sorbitanoleate,Good
sorbitanolivate,Good
sorbitansesquioleate,Good
sorbitanstearate,Good
sorbitol,Good
soyextract,Best
soyisoflavones,Best
soyoil,Best
spearmintoil,Poor
SPF,Best
sphingolipids,Best
Spiraeaulmaria,Best
spirulina,Good
squalane,Best
squalene,Best
St.John'swort,Good
staranise,Poor
steapyriumchloride,Good
stearalkoniumchloride,Good
stearalkoniumhectorite,Good
stearates,Good
steareth-20,Good
stearicacid,Good
stearylalcohol,Good
stearyldimethicone,Good
stearylglycyrrhetinate,Best
stearylmethicone,Good
stearylstearate,Good
styraxbenzoin,Poor
styrene/acrylatescopolymer,Good
sucrose,Good
sucrosestearate,Good
sugarcaneextract,Average
sulfates,Good
sulfur,Poor
sunflowerseedoil,Best
sunprotectionfactor,Best
superoxidedismutase,Best
surfactant,Good
sweetalmond,Good
sweetalmondoil,Good
Symphytumofficinaleextract,Poor
syntheticbeeswax,Good
syntheticwax,Good
Szechuanpeppercorn,Poor
talc,Good
tallow,Poor
tamanuoil,Good
Tanacetumparthenium,Average
tangerineoil,Poor
tannicacid,Best
tapiocastarch,Good
tartaricacid,Best
TEA,Good
TEA-laurylsulfate,Poor
teatreeoil,Good
terephthalylidenedicamphorsulfonicacid,Best
tetradibutylpentaerithritylhydroxyhydrocinnamate,Good
tetrahexyldecylascorbate,Best
tetrahydrobisdemethoxycurcumin,Best
tetrahydrobisdemethoxydiferuloylmethane,Best
tetrahydrodemethoxycurcumin,Best
tetrahydrodemethoxydiferuloylmethane,Best
tetrahydrodiferuloylmethane,Best
tetrahydromethoxycurcumin,Best
tetrahydroxypropylethylenediamine,Good
tetrapeptide-30,Best
tetrasodiumEDTA,Good
tetrasodiumetidronate,Good
tetrasodiumglutamatediacetate,Good
Theobromacacaoseedbutter,Best
thiamineHCL,Good
thickeningagent,Good
thiocticacid,Best
thiodipropionicacid,Average
thiotaurine,Good
threonine,Good
thymeextract,Average
thymeoil,Poor
thymushydrolysate,Average
Thymusserpillumextract,Poor
Thymusvulgaris,Average
Thymusvulgarisoil,Poor
Tiliacordata,Best
titaniumdioxide,Best
tocopherol,Best
tocopherolacetate,Best
tocopherylacetate,Best
tocopheryllineolate,Best
tocotrienols,Best
tomatoextract,Average
tormentilextract,Poor
tragacanth,Good
tranexamicacid,Best
trehalose,Good
tremellafuciformissporocarpextract,Best
tribehenin,Good
tribeheninPEG-20esters,Good
tricaprylin,Good
trideceth-12,Good
trideceth-6,Good
tridecylsalicylate,Good
tridecylstearate,Good
tridecyltrimellitate,Good
triethanolamine,Good
triethoxycaprylylsilane,Good
triethoxycaprylylsilanecrosspolymer,Good
triethoxysilylethylpolydimethylsiloxyethylhexyldimethicone,Good
triethylhexanoin,Good
Trifoliumpratense,Good
triglyceride,Good
trigonellafoenum-graecumseedextract,Average
trihydroxystearin,Good
triisocetylcitrate,Good
trilaurin,Good
trimethylsiloxyamodimethicone,Best
trimethylsiloxysilicate,Good
trioclanolin,Good
trioctanoin,Good
trioctyldodecylcitrate,Good
tripeptide-1,Best
tripeptide-29,Best
tripeptide-32,Good
Tripleurospermummaritimumextract,Good
trisodiumEDTA,Good
Triticumvulgare(wheat)germextract,Good
Triticumvulgareoil,Good
troxerutin,Best
tryptophan,Good
turmeric,Good
ubiquinone,Best
Ulmusfulvabarkextract,Good
ultramarines,Good
Ulvalactucaextract,Good
Uncariatomentosaextract,Average
Undariapinnatifida,Good
urea,Good
Urticadioica,Average
UVA,Poor
Uvaursiextract,Best
UVB,Poor
VA/crotonatescopolymer,Good
Vacciniummacrocarponfruitextract,Best
Vacciniummyrtillus,Good
VaccinumAngustifolium(blueberry)fruitextract,Best
valine,Good
Vanillaplanifoliafruitextract,Good
verbenaextract,Poor
vetiveroilorextract,Poor
vinyldimethicone/methiconesilsesquioxanecrosspolymer,Good
Violatricolorextract,Average
vitaminA,Best
vitaminB1,Good
vitaminB12,Good
vitaminB2,Average
vitaminB3,Best
vitaminB5,Good
vitaminB6,Average
vitaminC,Best
vitaminD,Good
vitaminE,Best
vitaminF,Best
vitaminH,Good
vitaminK,Good
Vitisvinifera,Best
volatileoil,Poor
VP/eicosenecopolymer,Good
VP/hexadecenecopolymer,Good
walnutextract,Average
walnutoil,Good
walnutshellpowder,Average
water,Good
watercressextract,Average
watermelonfruitextract,Best
wheataminoacids,Good
wheatgermglycerides,Good
wheatgermoil,Good
wheatprotein,Good
wheyprotein,Good
whitenettle,Average
whiteoakbarkextract,Poor
whitetealeafextract,Best
whitewillow,Good
wildginger,Poor
willowbark,Good
willowherb,Best
wintergreenoil,Poor
witchhazel,Poor
xanthangum,Good
xanthophyll,Best
Ximeniaamericanaoil,Good
Xixin,Poor
xylitol,Good
xylitylglucoside,Good
xylose,Good
xymenynicacid,Good
yarrowextract,Poor
yeast,Good
yeastextract,Good
yellow5,Good
yellow5lake,Good
yellow6lake,Good
yerbamateextract,Best
ylangylang,Poor
yogurt,Average
yuccaextract,Average
Yuccaschidigera,Average
Zanthoxylumpiperitum,Poor
zinc,Best
zinccarbonate,Poor
zincgluconate,Good
zincoxide,Best
zincPCA,Best
zincstearate,Good
zincsulfate,Poor
Zingiberaceae,Poor
Zingiberofficinaleroscoe,Poor
Zingiberzerumbet,Poor
Zizyphusjujubafruitextract,Good